product_sku,order_id,quantity,unit_price,discount
3018,2638,1,585.46,2.01
595,3547,2,940.35,24.32
3498,1976,8,647.6,17.97
1537,314,5,413.74,5.76
4771,2532,5,928.04,24.04
3199,2071,6,206.9,24.64
1505,4282,9,263.51,5.15
2019,1515,9,543.8,18.11
1432,3178,14,548.75,19.36
1220,3195,14,923.34,13.54
2808,4601,10,33.11,10.83
595,3429,15,940.35,1.75
1585,3440,15,313.2,5.18
1847,614,3,539.92,14.84
2597,304,2,648.43,1.81
1908,1097,15,955.15,7.01
378,2790,9,498.02,5.84
1303,1772,14,227.87,17.26
3429,862,4,582.91,21.38
1371,383,11,584.07,9.1
3671,2117,2,308.99,11.47
1289,1890,1,32.06,5.11
2697,4116,7,452.54,3.09
989,830,15,856.53,17.53
1507,3202,13,309.56,13.03
4425,548,8,427.6,8.05
2142,2253,12,166.93,6.24
2270,4630,8,894.08,16.48
2484,821,12,866.99,22.77
3616,2888,14,454.14,6.48
3874,3574,6,185.98,2.34
1680,1973,6,149.08,15.35
376,3831,9,486.71,24.49
4462,469,15,490.32,10.8
4114,3911,1,284.23,19.63
3094,3596,8,202.93,8.56
781,1525,14,917.91,8.1
1048,4869,9,200.16,13.09
3065,1932,1,220.65,20.96
4257,1643,6,93.52,11.09
170,4181,6,289.32,23.37
1689,4730,9,391.93,18.85
1197,3648,1,560.65,3.39
1012,4188,13,4.39,14.58
4920,318,9,484.73,20.19
2276,2402,4,644.43,1.69
1327,1529,10,933.74,5.76
2437,2976,14,909.48,23.38
179,1258,1,582.1,15.22
4033,1752,4,585.46,22.65
3760,4054,5,261.64,19.28
2060,4226,5,772.39,23.5
1132,3711,4,432.16,21.51
2269,4939,4,979.46,21.65
2060,2259,13,772.39,11.98
1464,3036,9,937.09,24.11
1741,4497,12,853.07,3.95
4917,4450,5,999.14,15.74
1664,302,3,432.44,20.81
3832,1337,14,874.7,20.4
4871,3194,14,317.4,22.24
1629,4653,2,476.1,24.3
2711,4640,10,193.03,7.62
4349,4883,3,548.5,7.15
4013,1004,7,171.93,19.42
215,2769,8,143.72,20.84
838,3126,3,995.75,5.55
2490,1489,14,83.94,18.49
2484,4808,8,866.99,9.1
1425,3694,10,12.85,21.94
1440,4837,7,673.19,7.96
2437,4203,11,909.48,17.95
728,988,3,397.69,5.21
883,4748,12,40.71,20.34
2060,1231,13,772.39,14.77
4838,3355,6,458.37,7.2
2069,3141,7,270.14,12.84
1631,409,10,338.73,23.16
4686,979,7,253.72,22.12
2530,4636,11,286.79,21.34
1749,4955,9,370.41,7.81
1440,1112,3,673.19,13.7
4612,4199,10,609.65,12.86
1557,696,8,173.2,7.04
3731,4094,13,217.91,14.92
652,60,1,281.07,24.49
207,759,7,929.09,16.53
3884,4452,3,460.61,22.48
1883,4470,9,694.39,11.83
4532,2837,1,485.82,22.58
1778,544,11,978.89,14.12
3783,4905,11,571.36,8.67
3135,2255,2,561.67,22.1
3341,539,8,81.06,6.22
4462,3127,8,490.32,9.45
960,3641,9,206.49,22.29
2095,3365,3,477.98,19.38
3752,4778,10,698.53,4.63
2844,584,9,577.57,10.22
4594,3431,10,998.86,9.99
177,3009,9,904.23,21.86
194,692,12,876.46,3.81
3783,2286,1,571.36,8.93
1190,1282,3,481.61,6.68
1598,391,15,200.51,18.78
1159,3444,11,36.56,11.63
4151,998,4,478.87,12.99
2804,2431,4,172.42,22.39
2,3461,11,439.12,2.81
1302,3824,7,590.73,6.91
3666,4283,7,507.13,12.66
3039,3344,7,54.23,22.1
3817,1476,6,848.5,19.16
591,2231,5,134.18,10.06
1692,1990,2,915.61,10.85
169,4311,8,800.94,12.32
1067,4068,5,487.71,3.54
2142,4381,11,166.93,22.79
563,3887,9,484.68,23.31
803,1849,6,421.72,19.09
2025,891,3,590.88,5.2
3980,3004,11,177.01,8.38
2356,2792,6,86.56,12.92
4163,1733,7,752.69,24.58
3722,4981,9,447.14,21.57
4413,3770,4,694.9,7.37
677,471,14,661.36,8.49
3570,317,3,403.1,15.65
4033,4795,2,585.46,24.65
4952,2625,7,133.42,20.13
1358,4529,14,388.7,13.3
2146,618,12,83.48,15.47
1722,4668,11,271.54,9.1
1128,2495,7,490.56,2.46
2309,339,1,356.38,4.67
4931,2275,6,621.8,12.71
1113,4074,14,831.16,24.04
2931,2728,1,94.38,23.17
1011,763,3,670.17,14.79
414,2893,2,398.11,23.37
2871,2131,1,858.19,7.82
3448,812,15,523.44,21.46
3599,2755,5,306.84,8.09
591,3017,13,134.18,6.89
1537,1689,3,413.74,21.49
376,3908,8,486.71,4.12
3141,2199,3,681.51,9.55
168,4001,6,324.04,14.53
3444,156,9,19.67,9.52
3740,1942,12,602.34,4.67
4039,4376,1,489.39,6.41
4591,1657,9,137.07,23.92
98,3313,14,381.52,9.03
3933,1545,1,397.59,18.97
1664,4685,3,432.44,3.04
3143,380,1,4.74,11.34
3752,4257,10,698.53,21.43
2821,3029,9,330.65,9.92
652,3077,7,281.07,13.45
4050,4596,14,690.55,24.04
3905,3201,4,361.72,18.18
654,3337,7,60.66,24.76
4663,579,10,862.01,17.79
2631,2838,15,678.79,6.64
2146,638,3,83.48,24.86
4594,535,4,998.86,10.73
1068,3742,8,296.78,14.86
1692,2594,8,915.61,21.45
1440,3271,5,673.19,18.63
3616,2857,2,454.14,8.65
1778,818,9,978.89,17.28
1879,3193,3,726.89,3.98
1059,3285,13,915.36,22.83
3007,4860,8,139.22,19.78
1327,2179,5,933.74,12.59
4121,107,2,838.41,1.28
160,2377,15,872.01,10.25
4071,1069,8,560.65,16.98
513,2117,4,623.32,8.22
2058,1487,6,651.18,15.65
2883,2046,13,755.68,13.19
1568,3320,11,587.7,21.3
910,2413,12,306.49,5.7
3378,525,4,982.63,19.34
2448,1387,12,986.54,16.82
4081,4482,12,544.06,15.15
2711,4283,9,193.03,13.6
4796,2819,15,784.95,18.02
4146,4145,4,757.78,12.21
353,2571,3,402.07,13.08
1915,3533,2,20.3,12.69
1771,1966,8,276.4,13.81
1029,3917,15,762.35,24.93
592,2700,4,904.29,6.79
3817,4312,11,848.5,17.12
2871,946,14,858.19,5.37
2208,4003,9,904.47,16.57
4931,1800,14,621.8,21.38
3489,3200,6,826.69,5.34
883,132,9,40.71,10.32
910,2080,3,306.49,11.08
1303,2169,3,227.87,17.87
1371,1124,12,584.07,14.73
2146,4704,7,83.48,11.79
3163,3210,6,108.62,16.98
1883,2114,13,694.39,3.15
2076,3012,13,895.15,7.65
2821,3929,11,330.65,22.1
98,2539,13,381.52,23.51
1059,1029,7,915.36,19.54
3141,645,9,681.51,14.02
4812,315,5,831.72,18.92
1264,3446,6,590.36,15.44
4462,3190,6,490.32,17.54
1598,3394,4,200.51,18.76
730,842,14,865.97,6.84
1545,2690,11,684.97,22.98
892,230,8,862.57,7.06
489,1320,15,75.08,11.7
3722,876,13,447.14,18.26
207,4725,15,929.09,16.61
2270,1730,1,894.08,10.12
4695,3264,14,390.66,16.01
2620,3730,11,82.17,17.65
3016,615,7,353.43,9.12
399,2623,6,966.31,16.76
1692,4849,8,915.61,10.11
4453,1309,13,433.27,22.61
781,3919,7,917.91,2.3
4114,1539,8,284.23,9.13
179,4411,5,582.1,8.94
3316,2115,15,722.07,15.23
847,4479,4,620.97,17.44
567,3030,2,330.36,15.65
4456,1858,11,355.68,24.76
2871,4718,3,858.19,2.67
1022,4552,14,216.39,24.67
1813,3742,13,135.34,17.1
3084,1385,11,345.55,17.48
3410,2574,10,713.29,23.06
4214,3474,8,255.28,4.24
3783,1154,8,571.36,6.9
677,1943,12,661.36,7.08
3594,3973,7,758.31,8.48
2542,4487,5,270.94,11.73
2276,1301,14,644.43,20.76
4128,2321,3,488.64,24.7
3300,4423,4,475.56,11.88
4257,2915,6,93.52,3.45
1263,1840,11,149.03,1.11
3731,2293,14,217.91,11.38
81,4342,12,941.44,23.17
3669,2439,9,208.5,4.6
3547,3377,9,112.36,17.94
128,29,14,703.88,24.32
2437,772,2,909.48,23.4
4661,1393,1,818.76,13.99
1868,3694,10,601.35,11.97
1440,1951,13,673.19,4.07
1432,1245,11,548.75,5.57
1417,4842,12,331.76,7.99
2931,3465,9,94.38,6.99
1619,870,6,790.82,5.96
853,1339,11,425.53,9.07
3371,2651,15,674.74,19.54
3966,2570,4,650.38,2.16
262,1878,7,745.94,19.6
2558,4935,4,205.01,11.49
3029,565,9,168.81,6.89
3242,81,6,421.89,11.27
4017,2031,2,602.24,18.91
1505,1683,8,263.51,17.79
1598,4321,7,200.51,9.37
4328,1542,6,737.4,21.78
876,4416,10,85.37,24.51
583,1473,4,608.39,11.16
4962,4188,12,68.74,6.0
4575,4974,15,737.8,7.57
3206,1079,4,198.96,19.88
3703,90,13,945.85,17.29
1678,1450,14,757.37,8.35
876,3227,2,85.37,16.12
4119,368,2,991.32,12.92
4738,2497,11,372.59,15.15
3819,2190,14,709.03,9.0
1059,4573,9,915.36,22.4
2270,2565,10,894.08,3.17
2876,1059,10,943.65,11.03
2736,4278,4,661.78,11.8
652,2298,14,281.07,13.52
2558,3760,15,205.01,15.01
1908,1065,10,955.15,1.3
67,869,7,453.79,6.35
2844,3267,14,577.57,5.82
1162,1973,6,724.66,1.56
4923,3306,3,276.1,23.57
1268,4791,15,795.96,14.23
2844,678,7,577.57,20.69
2019,976,13,543.8,11.77
501,4059,6,410.09,23.98
847,329,11,620.97,11.65
2847,4765,2,126.74,22.83
376,1219,4,486.71,6.13
2463,996,3,638.07,18.82
3366,4030,8,420.3,18.79
1302,1959,6,590.73,4.53
1029,4176,15,762.35,9.65
3668,2905,5,681.95,8.1
3671,121,6,308.99,18.91
4865,3297,3,976.48,4.43
3783,4711,3,571.36,4.9
595,2214,15,940.35,3.42
1664,2381,2,432.44,3.03
3489,3974,9,826.69,8.29
3880,3682,9,889.5,12.26
1327,4824,4,933.74,24.55
571,4276,14,555.16,6.9
3039,3021,10,54.23,5.89
1179,2969,10,34.76,18.24
4725,4807,14,303.93,1.56
1263,225,3,149.03,5.53
81,356,14,941.44,3.35
677,147,6,661.36,2.17
1080,520,11,987.02,21.63
1607,2222,8,561.12,20.91
376,349,14,486.71,5.76
4434,2291,15,307.5,24.51
4799,501,5,716.33,5.91
4441,4523,14,92.68,23.04
4871,1948,5,317.4,13.76
1688,2330,3,593.89,22.22
2462,503,10,270.77,14.14
3341,2850,3,81.06,24.42
3123,2593,3,52.9,5.54
2214,2700,15,711.82,24.1
414,1215,15,398.11,24.3
1678,656,1,757.37,4.68
160,4873,10,872.01,16.48
2464,3535,3,777.62,18.03
2889,550,14,352.53,8.74
4771,99,15,928.04,2.01
4120,4320,10,157.78,7.06
3905,3581,12,361.72,4.18
3410,3802,5,713.29,4.29
4838,3932,14,458.37,7.4
1380,2419,1,351.58,2.29
3898,4881,5,688.74,11.1
1908,3503,14,955.15,23.45
1778,4322,6,978.89,13.7
1722,3633,5,271.54,13.91
4822,2363,14,806.42,7.88
3123,851,11,52.9,11.49
4917,4078,14,999.14,2.32
1507,1986,10,309.56,21.16
2641,2037,14,642.62,2.01
33,3110,5,148.12,6.41
4771,2876,7,928.04,14.03
4365,4510,2,36.9,4.94
1327,3364,6,933.74,2.05
829,3946,13,800.13,23.03
183,2658,11,843.6,1.74
4453,1433,4,433.27,16.18
3092,2267,15,660.08,11.38
4923,2547,13,276.1,9.8
3252,2988,12,960.14,19.74
1539,2447,7,89.02,3.68
4425,3877,1,427.6,7.55
777,1573,4,79.41,2.57
2356,3033,3,86.56,8.6
81,3869,7,941.44,4.35
3253,521,3,661.82,18.02
1545,2865,11,684.97,18.92
2597,4530,14,648.43,2.74
64,1369,1,780.39,10.3
4121,140,6,838.41,11.76
273,2540,13,144.3,12.18
225,3049,9,109.06,7.26
876,3146,6,85.37,12.54
3483,2975,2,460.86,1.58
885,2118,6,765.46,6.77
1190,1282,3,481.61,11.26
4695,3453,1,390.66,13.3
2448,4808,11,986.54,15.74
3693,4995,12,588.68,18.3
2889,2481,3,352.53,4.6
3788,8,1,414.61,4.25
652,1336,11,281.07,4.76
4215,3231,2,31.94,19.9
4661,3408,13,818.76,6.02
3739,3539,10,662.75,23.08
1736,659,10,430.92,10.28
1930,1216,4,53.11,9.05
1371,1930,6,584.07,19.31
3378,2634,2,982.63,5.91
4002,1343,4,423.89,22.11
2397,1591,9,237.25,16.52
2266,4898,4,10.41,10.93
2813,100,5,162.9,16.33
3316,3266,10,722.07,19.8
2642,1385,12,885.15,16.39
1771,534,6,276.4,15.68
4920,3673,14,484.73,17.96
4133,4428,1,521.2,22.91
2462,1428,1,270.77,20.19
1555,3983,10,408.69,20.93
1631,4017,8,338.73,22.77
4962,2387,11,68.74,13.96
4686,4738,14,253.72,23.74
4197,4001,11,233.78,3.11
2863,4588,5,957.8,17.97
1555,2061,5,408.69,5.63
652,3263,10,281.07,24.25
3538,1751,6,965.1,12.62
1440,4264,12,673.19,3.59
1770,2859,13,493.27,16.01
187,4196,8,69.0,16.52
1744,969,7,82.96,14.42
4515,1102,4,534.19,1.65
3884,23,4,460.61,7.06
3949,1434,11,76.68,8.57
4114,1942,5,284.23,19.2
3832,934,12,874.7,17.48
4670,352,13,777.43,20.06
3143,4692,11,4.74,24.18
1915,4611,13,20.3,13.86
4301,2729,2,941.45,12.13
3916,4768,6,715.28,14.68
2664,3745,14,563.83,23.91
1432,1814,3,548.75,4.64
4224,3116,7,51.52,5.49
1348,183,12,124.55,11.02
353,4235,13,402.07,2.28
1159,2654,8,36.56,12.34
1711,1960,15,8.85,15.61
3884,79,12,460.61,17.08
2631,4661,5,678.79,4.13
1711,2701,6,8.85,12.37
4686,4584,6,253.72,18.35
887,1438,4,391.27,24.86
42,3569,7,152.95,18.06
3880,1349,9,889.5,1.93
1458,621,6,434.01,4.45
2534,229,7,942.65,15.97
1664,229,8,432.44,7.89
514,2540,9,977.02,4.77
3783,1078,3,571.36,11.13
4759,3523,10,952.16,23.16
1464,3476,13,937.09,14.46
2804,2117,13,172.42,8.43
1537,4577,15,413.74,4.73
1705,68,3,995.59,15.76
2019,2830,12,543.8,14.81
4456,4381,9,355.68,4.08
900,1554,12,516.27,22.68
3752,3225,15,698.53,21.71
1680,2929,5,149.08,7.55
4533,1931,8,535.64,3.21
4797,1849,11,464.9,11.9
1302,310,7,590.73,11.89
4117,2426,8,589.53,12.33
4146,4777,4,757.78,21.34
3884,1022,3,460.61,22.08
1868,4284,5,601.35,19.89
4002,4472,3,423.89,10.92
1425,4999,13,12.85,22.27
4606,52,5,715.77,19.74
194,1256,12,876.46,15.33
1557,4371,3,173.2,14.82
4743,2643,12,6.72,11.03
436,1420,15,607.45,6.32
989,3385,11,856.53,23.87
3671,1726,1,308.99,10.86
3739,2679,8,662.75,9.86
4865,215,4,976.48,18.86
4607,1876,2,255.75,14.65
730,4053,7,865.97,7.96
1868,999,12,601.35,3.34
2809,316,14,642.72,18.04
4738,3175,9,372.59,3.88
2357,1680,6,612.56,24.4
569,1444,11,528.69,3.78
489,3270,8,75.08,10.08
2266,3580,3,10.41,14.53
5,3354,2,998.59,17.02
1132,1646,11,432.16,8.27
1883,396,4,694.39,6.8
3758,3822,6,614.01,5.82
1220,904,3,923.34,8.19
1692,4689,15,915.61,9.29
1179,4240,9,34.76,5.31
694,2384,6,739.7,13.69
3731,4468,14,217.91,2.78
803,1120,6,421.72,5.7
1771,3468,2,276.4,19.58
1264,1657,4,590.36,9.27
2808,3870,1,33.11,14.2
980,3038,4,498.4,13.65
3788,429,15,414.61,8.03
652,4272,8,281.07,11.44
1440,3246,2,673.19,4.24
177,1013,8,904.23,17.18
1780,4951,3,563.35,21.16
2452,445,9,53.18,6.49
3250,886,9,470.59,23.72
1071,2689,5,628.4,8.97
958,2678,7,339.21,10.72
2970,4024,2,592.05,7.88
1586,1168,10,228.04,9.19
169,374,4,800.94,21.05
1060,1273,11,681.86,22.01
3250,3488,13,470.59,8.69
99,1433,3,700.65,18.13
222,2281,3,931.95,7.5
1545,2918,14,684.97,6.3
2534,415,1,942.65,6.19
128,764,1,703.88,5.0
4425,1483,14,427.6,2.75
4908,4490,10,988.38,6.8
3594,2381,15,758.31,10.59
3147,3012,11,413.46,9.79
4962,1197,6,68.74,19.32
1537,2166,15,413.74,17.22
3092,1745,1,660.08,20.56
4443,1666,8,619.25,5.43
1879,3186,14,726.89,16.37
4931,3409,13,621.8,21.07
2052,2312,2,607.84,11.89
1908,1347,5,955.15,4.88
4310,1845,7,747.61,24.98
4119,4895,6,991.32,1.27
4606,2241,11,715.77,12.02
4268,4307,12,119.92,3.25
4671,2727,15,931.74,7.38
3731,1782,5,217.91,20.98
4663,1594,10,862.01,5.33
1067,718,6,487.71,1.4
1678,3982,12,757.37,24.88
1915,4599,1,20.3,5.68
3709,3091,9,300.89,15.87
3692,3567,12,81.94,22.29
2415,1028,9,516.88,19.64
4663,1767,11,862.01,8.53
3916,3254,6,715.28,18.36
1080,139,9,987.02,11.21
4850,2326,6,710.87,8.6
1509,1012,1,197.27,12.53
1507,323,3,309.56,4.81
1528,3927,9,280.13,11.08
2058,4396,10,651.18,12.45
342,4875,13,430.14,22.88
1440,4698,9,673.19,4.07
1773,222,5,122.84,7.33
1607,4588,1,561.12,23.21
2757,4433,10,688.1,6.65
2969,5,8,715.27,3.76
1780,520,3,563.35,4.0
3128,3690,10,616.6,20.55
3884,1015,15,460.61,22.89
781,182,2,917.91,22.76
3433,3033,13,830.34,15.22
1380,229,15,351.58,23.55
4727,2815,1,451.09,6.28
3316,4888,13,722.07,1.26
980,936,10,498.4,7.42
3693,2589,7,588.68,5.57
4671,1049,2,931.74,12.2
1598,2226,5,200.51,5.27
853,355,4,425.53,1.8
3760,1166,10,261.64,24.26
1348,2036,8,124.55,14.13
4850,4460,13,710.87,3.69
2813,1876,10,162.9,24.9
97,3817,13,729.21,20.95
3671,193,12,308.99,22.26
1417,902,9,331.76,8.63
1348,4530,10,124.55,21.97
561,2521,12,723.09,14.21
1179,2659,13,34.76,8.85
4799,1700,6,716.33,9.95
3433,2797,9,830.34,19.56
2534,3766,8,942.65,10.28
4865,1708,13,976.48,12.47
3898,2028,3,688.74,5.86
1545,3067,13,684.97,3.41
2452,633,9,53.18,20.3
64,3200,12,780.39,7.72
2696,1478,11,239.35,12.54
1417,666,1,331.76,12.05
3300,2871,4,475.56,1.16
1462,4356,6,982.43,12.21
3740,2118,11,602.34,7.7
2875,2794,3,861.54,6.95
4812,1978,5,831.72,14.28
1179,3223,8,34.76,14.49
4653,870,8,66.24,23.03
1568,2054,11,587.7,11.48
4606,1906,14,715.77,4.3
592,3239,11,904.29,1.56
1692,4622,5,915.61,7.27
2697,466,12,452.54,7.65
2060,3152,11,772.39,16.35
436,255,1,607.45,4.59
1686,1275,4,30.15,13.87
1751,4136,15,733.58,16.59
2938,858,15,952.32,7.01
4354,314,13,891.51,12.03
1464,2401,11,937.09,12.01
1059,2889,4,915.36,1.43
2464,4357,5,777.62,10.96
3898,2811,6,688.74,14.4
187,3179,9,69.0,8.53
4197,673,12,233.78,16.5
853,519,1,425.53,8.02
4354,1620,1,891.51,21.27
3094,1930,9,202.93,10.84
4456,1525,3,355.68,15.54
1749,3152,3,370.41,10.1
3489,913,1,826.69,15.31
4897,769,14,37.71,10.82
4349,3485,13,548.5,17.6
652,4711,9,281.07,7.06
4569,1261,14,184.4,3.17
420,4572,7,21.06,16.99
23,212,2,601.05,23.62
2808,4273,8,33.11,2.95
504,3832,9,28.11,4.34
4594,3931,13,998.86,9.39
99,2757,12,700.65,4.44
1011,4371,10,670.17,6.81
2994,4409,12,414.97,24.88
1078,2816,4,978.64,1.42
781,1581,14,917.91,7.46
3300,2952,13,475.56,12.41
194,1999,15,876.46,22.18
4413,114,11,694.9,4.23
1879,4696,3,726.89,3.58
4197,2230,15,233.78,10.61
2938,857,6,952.32,17.53
4695,4338,14,390.66,18.6
3671,3704,14,308.99,13.22
2899,4239,3,558.93,18.67
4797,4211,2,464.9,23.44
342,3497,6,430.14,17.0
3739,1582,1,662.75,7.61
1770,416,12,493.27,8.92
274,3448,4,221.52,22.03
3933,4030,6,397.59,1.61
436,3801,1,607.45,21.61
3016,3919,10,353.43,17.66
2534,4878,7,942.65,11.59
3709,4325,9,300.89,20.81
3444,4972,10,19.67,21.01
569,4603,5,528.69,17.84
1371,4070,13,584.07,8.74
1128,4251,1,490.56,4.03
561,4124,7,723.09,9.91
3671,4944,4,308.99,9.93
4453,77,2,433.27,18.06
4606,5,13,715.77,8.91
1029,3229,3,762.35,18.89
4952,3698,12,133.42,5.95
2357,2575,12,612.56,15.97
4897,772,3,37.71,11.85
1255,3057,9,856.94,23.84
4081,4328,2,544.06,12.86
1813,4161,12,135.34,6.55
1771,3654,1,276.4,22.53
1268,4218,9,795.96,13.48
4961,1731,13,362.01,8.78
3300,3844,15,475.56,19.96
4257,3998,10,93.52,17.59
3980,334,7,177.01,3.05
3752,3270,11,698.53,13.95
622,390,5,266.45,7.84
3316,3208,10,722.07,18.75
4417,4895,12,557.71,22.42
4017,1642,6,602.24,6.01
3448,3087,13,523.44,13.31
1915,884,9,20.3,18.84
3141,4282,4,681.51,10.58
4196,3967,12,363.69,5.95
3692,2956,11,81.94,14.08
3570,2172,3,403.1,13.36
1528,1713,12,280.13,8.62
225,1721,2,109.06,10.18
4453,3595,5,433.27,7.21
4796,3776,5,784.95,2.75
1724,1683,13,547.03,24.92
1773,4026,12,122.84,21.22
268,3108,4,478.33,9.3
394,941,9,482.64,24.84
3740,1252,13,602.34,6.3
2463,4110,8,638.07,15.34
4865,2161,6,976.48,16.98
4257,674,10,93.52,19.67
2875,191,10,861.54,12.0
4920,784,1,484.73,22.43
2871,3444,10,858.19,6.98
1441,3540,13,653.88,24.64
2813,1592,8,162.9,22.81
4441,1287,5,92.68,16.0
2439,3202,1,659.86,12.52
3141,2373,1,681.51,2.63
514,4732,12,977.02,2.82
268,136,8,478.33,20.82
989,1783,14,856.53,21.12
2769,2953,13,522.79,14.78
1664,2777,1,432.44,3.7
1739,2294,6,780.7,9.99
1545,1410,6,684.97,14.22
583,3733,6,608.39,19.58
4002,3100,15,423.89,3.57
1879,4440,11,726.89,4.14
2,3929,4,439.12,5.47
4575,3276,9,737.8,24.79
1509,1868,2,197.27,18.85
730,1850,14,865.97,4.61
399,2514,10,966.31,10.1
226,1443,8,984.87,8.09
980,2823,6,498.4,18.66
1537,1927,15,413.74,15.65
571,301,14,555.16,10.51
3073,791,1,98.75,7.5
1407,2841,10,456.94,8.45
231,4269,15,993.89,2.87
23,1197,1,601.05,21.91
504,657,11,28.11,5.37
4422,2347,3,1.41,6.61
2060,3345,3,772.39,6.8
2813,2539,2,162.9,10.99
1417,3559,7,331.76,10.39
187,2749,13,69.0,7.63
2309,4343,2,356.38,20.64
875,2413,6,440.65,1.21
1724,4758,1,547.03,2.77
4799,3693,7,716.33,6.41
42,3654,5,152.95,16.76
1029,593,2,762.35,6.17
777,3016,12,79.41,4.47
4920,3278,4,484.73,6.39
3284,3127,1,293.33,7.02
246,2057,2,106.75,6.32
3423,701,6,448.14,5.64
419,161,13,423.89,8.44
1528,1363,6,280.13,15.59
2357,4882,5,612.56,14.2
4591,3266,8,137.07,5.61
960,3059,7,206.49,20.77
3156,2521,4,62.39,13.78
1585,2805,15,313.2,14.84
3779,1478,11,361.01,2.59
1664,118,1,432.44,9.43
2210,4338,15,369.41,13.08
2008,711,12,373.92,7.79
1586,3020,8,228.04,13.86
4897,3136,15,37.71,23.88
2464,2693,6,777.62,7.53
1688,4443,8,593.89,22.49
3260,4077,13,910.88,18.91
4422,4307,4,1.41,20.1
1029,1255,7,762.35,11.08
1071,596,8,628.4,22.32
1112,825,14,988.46,23.03
3668,2196,13,681.95,15.78
1338,4478,8,244.97,7.67
3489,268,7,826.69,16.54
4799,3029,2,716.33,16.2
3783,4792,1,571.36,2.69
1722,2721,6,271.54,10.71
1619,4100,12,790.82,3.08
309,3433,15,707.35,18.58
2980,4069,1,347.47,20.76
2439,1996,15,659.86,18.26
1829,603,9,100.71,20.78
179,3291,13,582.1,11.21
1739,2357,12,780.7,17.96
4575,2102,7,737.8,9.87
4214,673,7,255.28,15.65
231,4208,11,993.89,7.03
2357,2275,3,612.56,7.07
1264,4883,14,590.36,22.17
273,1412,5,144.3,6.8
4215,4508,4,31.94,3.91
271,1122,1,257.58,10.58
2632,4181,11,311.13,10.97
2415,293,4,516.88,16.81
342,4767,6,430.14,21.63
4384,4073,10,147.5,21.41
1048,2989,15,200.16,15.23
3709,2404,8,300.89,22.22
2448,1292,7,986.54,19.29
1068,4875,3,296.78,3.76
1159,582,7,36.56,12.29
2899,1060,11,558.93,13.05
803,682,8,421.72,15.3
2743,1163,13,943.21,8.27
1132,2071,9,432.16,20.74
2570,3471,13,262.14,19.28
207,2053,10,929.09,7.05
2697,1465,5,452.54,7.45
378,307,2,498.02,17.06
4133,3,1,521.2,21.85
3602,786,11,4.68,3.9
1060,3556,13,681.86,16.04
2994,3163,7,414.97,2.83
97,1712,8,729.21,8.0
2821,1427,4,330.65,5.58
4502,3579,15,721.9,7.0
1327,3081,6,933.74,23.1
1598,3131,5,200.51,22.03
215,4602,7,143.72,2.96
3783,4078,3,571.36,23.39
4671,813,6,931.74,2.66
3357,4619,12,904.0,16.61
4417,1339,14,557.71,14.27
4197,4734,14,233.78,24.99
3029,1219,11,168.81,23.38
3779,4764,12,361.01,21.62
2142,547,10,166.93,9.66
3752,363,8,698.53,23.76
3616,1478,8,454.14,13.37
4952,4622,8,133.42,7.94
4365,1092,9,36.9,6.86
1112,914,3,988.46,2.24
1407,4232,3,456.94,16.02
3357,252,2,904.0,10.81
2393,3112,6,145.15,18.82
4962,2142,4,68.74,24.46
892,4607,6,862.57,24.49
